iter	Passed	Remaining
703	17955	33054
704	17979	33025
705	18003	32997
706	18026	32967
707	18050	32938
708	18073	32910
709	18098	32883
710	18125	32860
711	18149	32832
712	18173	32804
713	18197	32776
714	18222	32748
715	18247	32722
716	18271	32695
717	18296	32668
718	18321	32643
719	18348	32618
720	18372	32592
721	18399	32567
722	18424	32541
723	18454	32525
724	18479	32499
725	18504	32472
726	18531	32449
727	18556	32423
728	18580	32394
729	18605	32369
730	18629	32339
731	18654	32313
732	18677	32283
733	18703	32260
734	18728	32234
735	18752	32205
736	18779	32183
737	18806	32159
738	18831	32133
739	18859	32112
740	18884	32086
741	18911	32062
742	18937	32038
743	18963	32014
744	18988	31987
745	19014	31962
746	19039	31936
747	19065	31911
748	19090	31885
749	19116	31861
750	19144	31839
751	19175	31822
752	19206	31806
753	19234	31784
754	19261	31762
755	19286	31735
756	19310	31707
757	19335	31681
758	19361	31656
759	19384	31627
760	19409	31600
761	19436	31578
762	19461	31551
763	19486	31525
764	19514	31503
765	19542	31482
766	19569	31458
767	19599	31441
768	19628	31421
769	19657	31400
770	19684	31378
771	19711	31354
772	19733	31323
773	19757	31296
774	19781	31267
775	19804	31237
776	19828	31210
777	19855	31186
778	19884	31166
779	19911	31143
780	19936	31116
781	19958	31086
782	19981	31057
783	20005	31028
784	20027	30998
785	20050	30969
786	20074	30940
787	20101	30918
788	20125	30889
789	20149	30861
790	20173	30833
791	20199	30809
792	20223	30781
793	20246	30752
794	20269	30722
795	20295	30698
796	20320	30672
797	20344	30644
798	20367	30614
799	20391	30587
800	20416	30560
801	20441	30534
802	20469	30513
803	20498	30492
804	20525	30468
805	20554	30448
806	20577	30420
807	20602	30394
808	20626	30366
809	20650	30338
810	20674	30310
811	20698	30282
812	20722	30255
813	20748	30230
814	20776	30208
815	20836	30232
816	20871	30221
817	20900	30200
818	20929	30181
819	20954	30154
820	20981	30131
821	21007	30105
822	21032	30078
823	21056	30051
824	21080	30023
825	21104	29995
826	21128	29968
827	21153	29941
828	21179	29916
829	21206	29893
830	21231	29867
831	21257	29841
832	21282	29815
833	21306	29788
834	21333	29764
835	21358	29738
836	21387	29717
837	21419	29701
838	21452	29685
839	21481	29664
840	21509	29643
841	21536	29619
842	21561	29592
843	21587	29567
844	21616	29546
845	21646	29527
846	21674	29505
847	21701	29481
848	21727	29456
849	21754	29432
850	21782	29410
851	21810	29388
852	21838	29365
853	21865	29342
854	21892	29317
855	21918	29292
856	21947	29272
857	21975	29249
858	22002	29225
859	22029	29201
860	22057	29179
861	22084	29155
862	22109	29129
863	22136	29104
864	22162	29080
865	22188	29055
866	22214	29029
867	22239	29003
868	22266	28979
869	22295	28958
870	22322	28935
871	22347	28908
872	22372	28881
873	22395	28853
874	22420	28826
875	22446	28800
876	22471	28775
877	22498	28750
878	22523	28724
879	22552	28703
880	22577	28677
881	22602	28649
882	22629	28626
883	22654	28600
884	22678	28572
885	22703	28545
886	22727	28517
887	22755	28495
888	22780	28469
889	22807	28445
890	22832	28418
891	22859	28394
892	22883	28367
893	22908	28340
894	22932	28313
895	22957	28286
896	22983	28261
897	23009	28236
898	23035	28211
899	23061	28186
900	23088	28162
901	23117	28140
902	23143	28115
903	23169	28090
904	23197	28067
905	23225	28044
906	23251	28020
907	23279	27997
908	23306	27972
909	23332	27947
910	23359	27923
911	23386	27899
912	23413	27876
913	23441	27853
914	23470	27831
915	23496	27805
916	23521	27779
917	23546	27753
918	23573	27728
919	23600	27705
920	23628	27682
921	23658	27661
922	23686	27638
923	23717	27619
924	23747	27598
925	23774	27574
926	23800	27548
927	23826	27523
928	23851	27497
929	23878	27472
930	23905	27448
931	23929	27421
932	23952	27392
933	23977	27365
934	24001	27339
935	24027	27312
936	24051	27285
937	24077	27260
938	24102	27234
939	24129	27209
940	24154	27182
941	24179	27157
942	24204	27130
943	24228	27103
944	24253	27076
945	24276	27047
946	24302	27022
947	24328	26996
948	24351	26968
949	24375	26941
950	24399	26913
951	24424	26887
952	24448	26859
953	24473	26833
954	24499	26808
955	24523	26780
956	24548	26754
957	24582	26738
958	24609	26713
959	24633	26686
960	24658	26659
961	24684	26634
962	24711	26610
963	24735	26583
964	24760	26556
965	24786	26531
966	24812	26505
967	24836	26478
968	24861	26451
969	24884	26424
970	24909	26397
971	24935	26371
972	24965	26350
973	24992	26326
974	25020	26303
975	25047	26279
976	25074	26255
977	25100	26230
978	25126	26204
979	25151	26177
980	25175	26150
981	25199	26123
982	25225	26098
983	25250	26071
984	25276	26046
985	25304	26023
986	25333	26000
987	25360	25976
988	25390	25955
989	25421	25934
990	25449	25911
991	25473	25883
992	25496	25855
993	25520	25828
994	25544	25800
995	25565	25771
996	25590	25744
997	25615	25718
998	25640	25692
999	25665	25665
1000	25690	25639
1001	25717	25614
1002	25744	25590
1003	25771	25566
1004	25798	25541
1005	25824	25516
1006	25851	25492
1007	25875	25465
1008	25899	25437
1009	25924	25410
1010	25949	25384
1011	25974	25358
1012	25998	25331
1013	26023	25305
1014	26049	25279
